"from","to","width","title"
"ZFAND5","FFAR2",3,"ZFAND5-FFAR2<br />0.2715"
"ZNF599","FFAR2",4,"ZNF599-FFAR2<br />0.4029"
"ZNF792","FFAR2",3,"ZNF792-FFAR2<br />0.3002"
"ZNF793","FFAR2",3,"ZNF793-FFAR2<br />0.3065"
"KMT2B","IGFLR1",3,"KMT2B-IGFLR1<br />0.274"
"LGALS14","IGFLR1",3,"LGALS14-IGFLR1<br />0.2906"
"LIN37","IGFLR1",3,"LIN37-IGFLR1<br />0.2765"
"LSM14A","IGFLR1",2,"LSM14A-IGFLR1<br />0.2204"
"MAG","IGFLR1",3,"MAG-IGFLR1<br />0.3259"
"NFKBIB","IGFLR1",3,"NFKBIB-IGFLR1<br />0.2673"
"PPP1R14A","IGFLR1",1,"PPP1R14A-IGFLR1<br />0.139"
"PRODH2","IGFLR1",2,"PRODH2-IGFLR1<br />0.1751"
"PRX","IGFLR1",2,"PRX-IGFLR1<br />0.2166"
"RELB","IGFLR1",2,"RELB-IGFLR1<br />0.1644"
"RHPN2","IGFLR1",3,"RHPN2-IGFLR1<br />0.2588"
"RYR1","IGFLR1",3,"RYR1-IGFLR1<br />0.2959"
"U2AF1L4","IGFLR1",4,"U2AF1L4-IGFLR1<br />0.3998"
"WDR62","IGFLR1",3,"WDR62-IGFLR1<br />0.3298"
"WDR88","IGFLR1",3,"WDR88-IGFLR1<br />0.2972"
"ZFAND5","IGFLR1",2,"ZFAND5-IGFLR1<br />0.2224"
"ZNF599","IGFLR1",3,"ZNF599-IGFLR1<br />0.3297"
"ZNF792","IGFLR1",3,"ZNF792-IGFLR1<br />0.3281"
"ZNF793","IGFLR1",2,"ZNF793-IGFLR1<br />0.2281"
"LGALS14","KMT2B",2,"LGALS14-KMT2B<br />0.154"
"LIN37","KMT2B",2,"LIN37-KMT2B<br />0.177"
"LSM14A","KMT2B",2,"LSM14A-KMT2B<br />0.2423"
"MAG","KMT2B",3,"MAG-KMT2B<br />0.2684"
"NFKBIB","KMT2B",2,"NFKBIB-KMT2B<br />0.1843"
"NOP53","KMT2B",1,"NOP53-KMT2B<br />0.1409"
"PIAS1","KMT2B",3,"PIAS1-KMT2B<br />0.2716"
"PPP1R14A","KMT2B",1,"PPP1R14A-KMT2B<br />0.1417"
"PRODH2","KMT2B",1,"PRODH2-KMT2B<br />0.1355"
"RYR1","KMT2B",3,"RYR1-KMT2B<br />0.2865"
"U2AF1L4","KMT2B",3,"U2AF1L4-KMT2B<br />0.3159"
"WDR62","KMT2B",3,"WDR62-KMT2B<br />0.2745"
"WDR88","KMT2B",2,"WDR88-KMT2B<br />0.1768"
"ZNF599","KMT2B",2,"ZNF599-KMT2B<br />0.2279"
"ZNF792","KMT2B",2,"ZNF792-KMT2B<br />0.1831"
"ZNF793","KMT2B",2,"ZNF793-KMT2B<br />0.2355"
"LIN37","LGALS14",2,"LIN37-LGALS14<br />0.1949"
"LSM14A","LGALS14",2,"LSM14A-LGALS14<br />0.2125"
"MAG","LGALS14",4,"MAG-LGALS14<br />0.3615"
"NFKBIB","LGALS14",2,"NFKBIB-LGALS14<br />0.2288"
"NOP53","LGALS14",2,"NOP53-LGALS14<br />0.1549"
"PPP1R14A","LGALS14",3,"PPP1R14A-LGALS14<br />0.2628"
"PRODH2","LGALS14",2,"PRODH2-LGALS14<br />0.1664"
"PRX","LGALS14",3,"PRX-LGALS14<br />0.3208"
"RELB","LGALS14",2,"RELB-LGALS14<br />0.2344"
"RHPN2","LGALS14",2,"RHPN2-LGALS14<br />0.206"
"RYR1","LGALS14",3,"RYR1-LGALS14<br />0.3234"
"U2AF1L4","LGALS14",4,"U2AF1L4-LGALS14<br />0.393"
"WDR62","LGALS14",1,"WDR62-LGALS14<br />0.1437"
"WDR88","LGALS14",2,"WDR88-LGALS14<br />0.1898"
"ZFAND5","LGALS14",1,"ZFAND5-LGALS14<br />0.1099"
"ZNF599","LGALS14",3,"ZNF599-LGALS14<br />0.3196"
"ZNF792","LGALS14",3,"ZNF792-LGALS14<br />0.2977"
"ZNF793","LGALS14",3,"ZNF793-LGALS14<br />0.2702"
"LSM14A","LIN37",2,"LSM14A-LIN37<br />0.1664"
"MAG","LIN37",3,"MAG-LIN37<br />0.2635"
"NFKBIB","LIN37",3,"NFKBIB-LIN37<br />0.2523"
"PPP1R14A","LIN37",2,"PPP1R14A-LIN37<br />0.1748"
"PRX","LIN37",1,"PRX-LIN37<br />0.1445"
"RYR1","LIN37",2,"RYR1-LIN37<br />0.1968"
"U2AF1L4","LIN37",2,"U2AF1L4-LIN37<br />0.1945"
"WDR62","LIN37",2,"WDR62-LIN37<br />0.2261"
"WDR88","LIN37",2,"WDR88-LIN37<br />0.2298"
"ZNF599","LIN37",3,"ZNF599-LIN37<br />0.2721"
"ZNF792","LIN37",2,"ZNF792-LIN37<br />0.2406"
"ZNF793","LIN37",2,"ZNF793-LIN37<br />0.1851"
"MAG","LSM14A",2,"MAG-LSM14A<br />0.1827"
"NFKBIB","LSM14A",2,"NFKBIB-LSM14A<br />0.177"
"PIAS1","LSM14A",1,"PIAS1-LSM14A<br />0.1196"
"PPP1R14A","LSM14A",1,"PPP1R14A-LSM14A<br />0.1297"
"PRX","LSM14A",2,"PRX-LSM14A<br />0.2274"
"RELB","LSM14A",1,"RELB-LSM14A<br />0.1145"
"RYR1","LSM14A",2,"RYR1-LSM14A<br />0.2389"
"U2AF1L4","LSM14A",3,"U2AF1L4-LSM14A<br />0.256"
"WDR62","LSM14A",3,"WDR62-LSM14A<br />0.2728"
"WDR88","LSM14A",1,"WDR88-LSM14A<br />0.1457"
"ZFAND5","LSM14A",2,"ZFAND5-LSM14A<br />0.1659"
"ZNF599","LSM14A",3,"ZNF599-LSM14A<br />0.3286"
"ZNF792","LSM14A",2,"ZNF792-LSM14A<br />0.2111"
"ZNF793","LSM14A",2,"ZNF793-LSM14A<br />0.2337"
"NFKBIB","MAG",3,"NFKBIB-MAG<br />0.2794"
"NOP53","MAG",2,"NOP53-MAG<br />0.1652"
"PPP1R14A","MAG",3,"PPP1R14A-MAG<br />0.2646"
"PRODH2","MAG",2,"PRODH2-MAG<br />0.2456"
"PRX","MAG",3,"PRX-MAG<br />0.2799"
"RELB","MAG",2,"RELB-MAG<br />0.2433"
"RHPN2","MAG",2,"RHPN2-MAG<br />0.1971"
"RYR1","MAG",3,"RYR1-MAG<br />0.3496"
"U2AF1L4","MAG",4,"U2AF1L4-MAG<br />0.3686"
"WDR62","MAG",3,"WDR62-MAG<br />0.3216"
"WDR88","MAG",3,"WDR88-MAG<br />0.2908"
"ZFAND5","MAG",2,"ZFAND5-MAG<br />0.1625"
"ZNF599","MAG",4,"ZNF599-MAG<br />0.3761"
"ZNF792","MAG",4,"ZNF792-MAG<br />0.3858"
"ZNF793","MAG",4,"ZNF793-MAG<br />0.3696"
"NOP53","NFKBIB",2,"NOP53-NFKBIB<br />0.1878"
"PPP1R14A","NFKBIB",2,"PPP1R14A-NFKBIB<br />0.165"
"PRODH2","NFKBIB",2,"PRODH2-NFKBIB<br />0.154"
"PRX","NFKBIB",2,"PRX-NFKBIB<br />0.2161"
"RHPN2","NFKBIB",1,"RHPN2-NFKBIB<br />0.1152"
"RYR1","NFKBIB",2,"RYR1-NFKBIB<br />0.1731"
"U2AF1L4","NFKBIB",2,"U2AF1L4-NFKBIB<br />0.2346"
"WDR62","NFKBIB",2,"WDR62-NFKBIB<br />0.1569"
"WDR88","NFKBIB",3,"WDR88-NFKBIB<br />0.2884"
"ZFAND5","NFKBIB",1,"ZFAND5-NFKBIB<br />0.1155"
"ZNF599","NFKBIB",3,"ZNF599-NFKBIB<br />0.2582"
"ZNF792","NFKBIB",2,"ZNF792-NFKBIB<br />0.1734"
"ZNF793","NFKBIB",2,"ZNF793-NFKBIB<br />0.1669"
"RYR1","NOP53",1,"RYR1-NOP53<br />0.1048"
